,0
07:00:00,0
07:01:00,0
07:02:00,0
07:03:00,0
07:04:00,0
07:05:00,0
07:06:00,0
07:07:00,0
07:08:00,0
07:09:00,0
07:10:00,0
07:11:00,0
07:12:00,0
07:13:00,0
07:14:00,0
07:15:00,0
07:16:00,0
07:17:00,0
07:18:00,0
07:19:00,0
07:20:00,0
07:21:00,0
07:22:00,0
07:23:00,0
07:24:00,0
07:25:00,0
07:26:00,0
07:27:00,0
07:28:00,0
07:29:00,0
07:30:00,0
07:31:00,0
07:32:00,0
07:33:00,0
07:34:00,0
07:35:00,0
07:36:00,0
07:37:00,0
07:38:00,0
07:39:00,0
07:40:00,0
07:41:00,0
07:42:00,0
07:43:00,0
07:44:00,0
07:45:00,0
07:46:00,0
07:47:00,0
07:48:00,0
07:49:00,0
07:50:00,0
07:51:00,0
07:52:00,0
07:53:00,0
07:54:00,0
07:55:00,0
07:56:00,0
07:57:00,0
07:58:00,0
07:59:00,0
08:00:00,0
08:01:00,0
08:02:00,0
08:03:00,0
08:04:00,0
08:05:00,0
08:06:00,0
08:07:00,0
08:08:00,0
08:09:00,0
08:10:00,0
08:11:00,0
08:12:00,0
08:13:00,0
08:14:00,0
08:15:00,0
08:16:00,0
08:17:00,0
08:18:00,0
08:19:00,0
08:20:00,0
08:21:00,0
08:22:00,0
08:23:00,0
08:24:00,0
08:25:00,0
08:26:00,0
08:27:00,0
08:28:00,0
08:29:00,0
08:30:00,58
08:31:00,58
08:32:00,58
08:33:00,58
08:34:00,58
08:35:00,58
08:36:00,58
08:37:00,58
08:38:00,58
08:39:00,58
08:40:00,58
08:41:00,58
08:42:00,58
08:43:00,58
08:44:00,58
08:45:00,58
08:46:00,58
08:47:00,58
08:48:00,58
08:49:00,58
08:50:00,58
08:51:00,58
08:52:00,58
08:53:00,58
08:54:00,58
08:55:00,58
08:56:00,58
08:57:00,58
08:58:00,58
08:59:00,58
09:00:00,58
09:01:00,58
09:02:00,58
09:03:00,58
09:04:00,58
09:05:00,58
09:06:00,58
09:07:00,58
09:08:00,58
09:09:00,58
09:10:00,58
09:11:00,58
09:12:00,58
09:13:00,58
09:14:00,58
09:15:00,58
09:16:00,58
09:17:00,58
09:18:00,58
09:19:00,58
09:20:00,58
09:21:00,58
09:22:00,58
09:23:00,58
09:24:00,58
09:25:00,58
09:26:00,58
09:27:00,58
09:28:00,58
09:29:00,58
09:30:00,149
09:31:00,149
09:32:00,149
09:33:00,149
09:34:00,149
09:35:00,149
09:36:00,149
09:37:00,149
09:38:00,149
09:39:00,149
09:40:00,149
09:41:00,149
09:42:00,149
09:43:00,149
09:44:00,149
09:45:00,149
09:46:00,91
09:47:00,91
09:48:00,91
09:49:00,91
09:50:00,91
09:51:00,91
09:52:00,91
09:53:00,91
09:54:00,91
09:55:00,91
09:56:00,91
09:57:00,91
09:58:00,91
09:59:00,91
10:00:00,153
10:01:00,153
10:02:00,153
10:03:00,153
10:04:00,153
10:05:00,153
10:06:00,153
10:07:00,153
10:08:00,153
10:09:00,153
10:10:00,153
10:11:00,153
10:12:00,153
10:13:00,153
10:14:00,153
10:15:00,153
10:16:00,153
10:17:00,153
10:18:00,153
10:19:00,153
10:20:00,153
10:21:00,153
10:22:00,153
10:23:00,153
10:24:00,153
10:25:00,153
10:26:00,153
10:27:00,153
10:28:00,153
10:29:00,153
10:30:00,153
10:31:00,153
10:32:00,153
10:33:00,153
10:34:00,153
10:35:00,153
10:36:00,153
10:37:00,153
10:38:00,153
10:39:00,153
10:40:00,153
10:41:00,153
10:42:00,153
10:43:00,153
10:44:00,153
10:45:00,153
10:46:00,62
10:47:00,62
10:48:00,62
10:49:00,62
10:50:00,62
10:51:00,0
10:52:00,0
10:53:00,0
10:54:00,0
10:55:00,0
10:56:00,0
10:57:00,0
10:58:00,0
10:59:00,0
11:00:00,74
11:01:00,74
11:02:00,74
11:03:00,74
11:04:00,74
11:05:00,74
11:06:00,74
11:07:00,74
11:08:00,74
11:09:00,74
11:10:00,74
11:11:00,74
